Page URL,Page Title,ILR,Raw ILR,Unique Pageviews,Crawl Depth,HTTP Status Code,"Page (HTML) Load Time, sec",Schema.org (Microdata),Schema.org (JSON-LD),Open Graph,Twitter Cards,Microformats,Canonicalization,In sitemap,Incoming Internal Links,Outgoing Internal Links,Outgoing External Links,AMP link,Hreflang Links,Hreflang Issues,JS and CSS Number,"JS and CSS Size, KB",Issues,Description,Blocked AI search bots
https://newsroom.upscrolled.com/blog-posts/view/5848/{{fileLink}},,18,0.003457035826873127,n/a,3,200,0.373,0,0,1,0,0,-,0,1,10,3,0,-,-,30,651,59,-,
https://newsroom.upscrolled.com/blog-posts/view/5855/{{fileLink}},,18,0.003457035826873127,n/a,3,200,0.505,0,0,1,0,0,-,0,1,4,1,0,-,-,26,618,46,-,
https://newsroom.upscrolled.com/blog-posts/view/5862/{{fileLink}},,18,0.003457035826873127,n/a,3,200,0.717,0,0,1,0,0,-,0,1,10,3,0,-,-,30,651,59,-,
https://newsroom.upscrolled.com/blog-posts/view/5865/{{fileLink}},,18,0.003457035826873127,n/a,3,200,0.462,0,0,1,0,0,-,0,1,4,1,0,-,-,26,618,46,-,
https://newsroom.upscrolled.com/blog-posts/view/5872/{{fileLink}},,18,0.003457035826873127,n/a,3,200,0.392,0,0,1,0,0,-,0,1,9,3,0,-,-,30,651,59,-,
https://newsroom.upscrolled.com/blog-posts/view/5874/{{fileLink}},,18,0.003457035826873127,n/a,3,200,0.452,0,0,1,0,0,-,0,1,4,1,0,-,-,26,618,46,-,
https://newsroom.upscrolled.com/blog-posts/download-all/5816/blog-posts/view/5816/40000-users-40-days-no-marketing-budget-what-upscrolleds-growth-really-says,,16,0.0034519741233480015,n/a,2,200,0.644,0,0,0,0,0,-,0,1,1,0,0,-,-,14,195,22,-,
https://newsroom.upscrolled.com/blog-posts/download-all/5819/blog-posts/view/5819/when-silence-isnt-an-option-why-issam-hijazi-built-upscrolled,,16,0.0034519741233480015,n/a,2,200,0.407,0,0,0,0,0,-,0,1,1,0,0,-,-,14,195,22,-,
https://newsroom.upscrolled.com/blog-posts/download-all/5821/blog-posts/view/5821/upscrolled-product-update-v150-apple-mobile,UpScrolled Media Centre,16,0.0034519741233480015,n/a,2,200,1.767,0,0,0,0,0,-,0,1,1,0,0,-,-,14,195,22,-,
https://newsroom.upscrolled.com/blog-posts/view/5819/{{fileLink}},,16,0.0034519741233480015,n/a,2,200,0.388,0,0,1,0,0,-,0,1,9,3,0,-,-,30,651,59,-,
https://newsroom.upscrolled.com/company-files/download/47447/blog-posts/view/5819/when-silence-isnt-an-option-why-issam-hijazi-built-upscrolled,UpScrolled Media Centre,16,0.0034519741233480015,n/a,2,200,0.375,0,0,0,0,0,-,0,1,1,0,0,-,-,14,195,22,-,
https://newsroom.upscrolled.com/company-files/download/47448/blog-posts/view/5819/when-silence-isnt-an-option-why-issam-hijazi-built-upscrolled,UpScrolled Media Centre,16,0.0034519741233480015,n/a,2,200,0.519,0,0,0,0,0,-,0,1,1,0,0,-,-,14,195,22,-,
https://newsroom.upscrolled.com/company-files/download/47451/blog-posts/view/5821/upscrolled-product-update-v150-apple-mobile,UpScrolled Media Centre,16,0.0034519741233480015,n/a,2,200,0.548,0,0,0,0,0,-,0,1,1,0,0,-,-,14,195,22,-,
https://newsroom.upscrolled.com/company-files/download/47452/blog-posts/view/5821/upscrolled-product-update-v150-apple-mobile,,16,0.0034519741233480015,n/a,2,200,0.364,0,0,0,0,0,-,0,1,1,0,0,-,-,14,195,22,-,
https://newsroom.upscrolled.com/company-files/download/47453/blog-posts/view/5816/40000-users-40-days-no-marketing-budget-what-upscrolleds-growth-really-says,,16,0.0034519741233480015,n/a,2,200,0.458,0,0,0,0,0,-,0,1,1,0,0,-,-,14,195,22,-,
https://newsroom.upscrolled.com/company-files/download/47454/blog-posts/view/5816/40000-users-40-days-no-marketing-budget-what-upscrolleds-growth-really-says,UpScrolled Media Centre,16,0.0034519741233480015,n/a,2,200,0.377,0,0,0,0,0,-,0,1,1,0,0,-,-,14,195,22,-,
https://newsroom.upscrolled.com/blog-posts/download-all/5762/blog-posts/view/5762/revolutionary-social-media-platform-upscrolled-launches-to-champion-authentic-voices-and-eliminate-algorithmic-censorship,,13,0.0034471606520799303,n/a,2,200,0.455,0,0,0,0,0,-,0,1,1,0,0,-,-,14,195,23,-,
https://newsroom.upscrolled.com/company-files/download/47553/blog-posts/view/5762/revolutionary-social-media-platform-upscrolled-launches-to-champion-authentic-voices-and-eliminate-algorithmic-censorship,,13,0.0034471606520799303,n/a,2,200,0.36,0,0,0,0,0,-,0,1,1,0,0,-,-,14,195,23,-,
https://newsroom.upscrolled.com/company-files/download/47554/blog-posts/view/5762/revolutionary-social-media-platform-upscrolled-launches-to-champion-authentic-voices-and-eliminate-algorithmic-censorship,UpScrolled Media Centre,13,0.0034471606520799303,n/a,2,200,0.196,0,0,0,0,0,-,0,1,1,0,0,-,-,14,195,23,-,
https://newsroom.upscrolled.com/company-files/download/47555/blog-posts/view/5762/revolutionary-social-media-platform-upscrolled-launches-to-champion-authentic-voices-and-eliminate-algorithmic-censorship,,13,0.0034471606520799303,n/a,2,200,0.437,0,0,0,0,0,-,0,1,1,0,0,-,-,14,195,23,-,
https://newsroom.upscrolled.com/b/all/{{fileLink}},UpScrolled Media Centre,11,0.003445205352746713,n/a,2,200,0.579,0,0,1,0,0,-,0,1,9,5,0,-,-,29,633,52,-,
https://newsroom.upscrolled.com/b/featured-in/{{fileLink}},,-,0.003445205352746713,n/a,2,500,0.0,0,0,0,0,0,-,0,1,0,0,0,-,-,0,0,1,-,
https://newsroom.upscrolled.com/blog-posts/view/5829/tiktok-users-move-to-upscrolled-amid-privacy-concerns-after-us-ownership-change,UpScrolled Media Centre,11,0.003445205352746713,n/a,2,200,0.585,0,0,1,0,0,-,0,1,12,5,0,-,-,30,651,55,-,
https://newsroom.upscrolled.com/blog-posts/view/5830/some-tiktok-users-switching-to-upscrolled-amid-ongoing-privacy-controversy-following-ownership-change,UpScrolled Media Centre,11,0.003445205352746713,n/a,2,200,1.037,0,0,1,0,0,-,0,1,12,5,0,-,-,30,651,55,-,
